"a mouse and house
met a house and a mouse",
"The New Yorker called this morning.

They say
My stanzas stand,
Emaciated.
Made of words that waste away.

But be honest.
Who still reads
Contemporary poetry?

A search history of synonyms, similes, and
Spoken-word syllables: all a ceaseless spew.
The dictionary’s
‘S’ section, stolen.
Thus, I strike back— ‘academic dishonesty.’

‘My sin, my soul’
The tongue taps its tip on the back of my teeth
Stumbling down stairs,
‘Lo-lee-ta.’
But why stop there—
Such simplicity?
Showcase your skill, savor the spotlight.
Shameless self-indulgence? No,
They salute the excessive.

Fools pretend to be Shakespeare.
So they’ve dropped sonnets, ditched meter.
In lieu, the modern poet asks:
‘How many
Aching-archaic-adverbs
Can I squeeze?’
In a single stanza
Of a poem about a love, never had.
In this consonance epidemic,
I stand alone.
And while Hemingway called it concision,
I say it’s sobriety.",
"and clench my fists 
but I will not start.
Like the 2006 Hyundai Sonata
that my mother calls Bella,
beautiful, I will wait until 
the air is thick with cold 
to stall—for my engine to blow
in the middle of February 
during a storm on 476, 
no blankets or gloves
to protect from the bite 
of the piling snow 
on my windshield. 
I will watch it cover
and clump until I 
can’t make out the 
mile markers anymore.
I will turn and turn
my key, the one with 
my mother’s St. Christopher
keychain, but there will be nothing—
only enough power 
for a call to my family, 
an apology, 
and a tow on the way. ",
"These beaten and broken kicks
have heard thousands of
notes, verses, and sets,
so many that the leather
had begun to deteriorate
decades before they were
passed on to me.
The laces are frayed, 
split at the ends like
the quarter-inch cables
you used to plug into your bass;
you’re lucky it didn’t explode.
You wore these on stages, 
in bars, on sidewalks and streets,
for crowds smaller and bigger
than I could ever imagine.
I’ll take them for spin after spin,
song after song, set after set, 
until I pass these dirty,
disheveled Chucks on again.",
"Across state lines, there’s a lot more
bloodshed to be found, I’m sure, but 
children– the ones big enough to drive cars and push pills–
declared that this particular crime scene was holy ground.
Every teenager in Akron has at least driven past it,
fought with a girlfriend in the passenger seat about 
getting out of the car to look around that yellow
house, slanted such that it seems it’s always sliding.
Inside, Hicks’s gold watch, a shaggy haircut, and 
Jeff’s only crime in Ohio, but all the same, a
killing place. The withered southern couple who bought it know now, 
lining the sunken yard with steel fencing, that no
matter how many coats of paint you slap on it, 
no one can remodel Dahmer Street. 
Once, a group of boys riled by rumor and Smirnoff 
placed bets on the first to find the murderer’s old hut.
Quiet early morning in early July, 
rustling left-over leaves behind the house, they 
surrounded the so-called shack, only to find
trees. Albeit a grouping of them, but still just trees, and 
under the white-hot moon, some seventeen-year-olds with
vendettas so misplaced they didn’t even know 
what they were angry about. I don’t know what they expected to find–
X-Acto knives, maybe, an exhibit of 
young bird skeletons he’d collected, or 
zip ties, if they were lucky. ",
"It was a scavenger hunt of the heart, 
One where teams were formed amidst the search. 

Mom and Dad found you in hikes along waterfalls 
And car rides blasting Jesse's Girl;
In last minute midnight confessions and rejected proposals. 
No longer a scavenger hunt but a game of Poker, 
They were willing to risk it all if it meant gaining each other. 

Robin and Thomas found you in athletic passion 
And naps that formed indents on mattresses; 
In the quiet of absent older sisters and the overcoming of overbearing mothers. 
Gone was the hunt replaced with Uno,
Their holes now filled with the one. 

Lily and Jack found you in holy scripture
And in an old movie’s lyrical lemonade;
In first times at cafes and matching lightsabers.
You transformed into a classic: Checkers,
Easily won and simple enough to not screw up. 

I, alone, found you in chilled damp graves
And shriveled hearts of long ago lovers whose ashes are now eternally mixed; 
In the shriveled petals of unwatered flowers and the smoke of blown out candles. 
You were murdered in a bath of blood by Clue,
When I wanted to perfectly write you out like Scrabble’s oxyphenbutazone.

And from your decaying mouth came spiders a plenty, 
Swiftly crawling up my aching spine. 
Whispering webs of potential truths: 
That you were never meant for me,
Nor I for you.",
"Last night I dreamed I was running
across the ashen craters of the Western Front.
The enemy had retreated and the doctor
told me that a Body had died.

“All are buried or home for tea
but a doctor works in between.
The war is won, and I am done.
And so It is.” Somebody’s son.

I ran for hours like a Peloponnesian
through the black earth stricken
by gas, and over trenches
as wide as the Rubicon,
choked with piles of singed meat
decomposed too fast.

Until,
by the shadow of a tree,
reclined like a Caesar
in the mortar-tilled dirt,
I found the Body.

“Oh, thank God almighty,”
the pallid Body said,
“you came here to save me!”
(It was not very dead).",
"Am I wrong to want to know you?

To want the weight
of your name
on my tongue? 

Baby 		Angel
	Lover		Darling

can’t fill the ache— 
my lips longing
to curve to your 
shape, to feel
you tense in
my jaw.

You say my name like it means something. 

Let me return the favor, 
split your beauty 
into syllables
so that I can swallow
you. 

Want to see you. 
Undressed, 
façade folded neatly
at the end of my bed. 
Stripped to your bones— 
	Would they be shell,
like the mussels I 
collected in summers 
at Lake Yliki? Or 
magma, molten rock 
that melts the skin
off my fingers
as it slips from
my grasp?— 
left with no theatrics, 
no disguise, 
nothing but the heat
pooling behind 
your eyes, ready 
to devour flesh 
or nightdress. 

You have me. 

Let me feel 
I have you too.",
"Today we saw Pluto
lose his mind in the
depths of space,
screaming words indecipherable 
from millions of miles away.
He screamed at the Sun,
and fury overtook him
when that great ball of fire
ignored him, a cold, impotent dwarf.

So Pluto howled loud
so all could hear,
FUCK THIS!
and flew straight at the
Sun, breaking all the barriers of 
sound, time, and space.
The Sun didn’t even get a chance
to turn around;
by the time he heard Pluto coming,
his name had been changed to
Supernova.

It was a strange day.
They say Pluto’s not 
a planet anymore,
did you hear?",
"Remember when you said, 
you never want to live 
through a war? 

What if there’s already 
been an invasion? What 
if I didn’t run away?
What if I stayed, 
paralyzed, while they
seized, took me
and my people
and my clothes?

Am I complicit?

How did you 
know when 
to escape? 

Did you buy a ticket
overseas before 
or after the first 
bomb dropped? 
Did you wait 
to see if they 
were bluffing
before you 
uprooted?

How do you ask 
for shelter— 
what if they 
don’t want 
to let you in?

What if they see you
covered in blood
and think you 
drew it? 
Regardless 
of the source
or your tears 
it is your fault 
it is yours. 

If I cannot flee, 
is that consent? 

And if I am able
to flee, after all
that I’ve seen, 
how do I go back
to before?

To before the bombs
and the freeze and 
the way that it burns  
your neck and the blood
the way it clings to your clothes
and your skin that you can’t 
take off, but you keep trying
you’re trying, but even when 
you’re clean you swear that 
you can still see it crusted, 
now brown, under your finger-
nails and what if you were
never really clean to start with? 

Are there pills 
for the tremors? 
Will they help me
sleep? 

How do you sleep?",
"(Chorus enters)
With rue the heart is laden
A divine retelling of atrocities committed
Now commences

He harbored hatred 
Inwardly—in his innards 
Establishing Empire
Illegitimately
Through Treacherous Trials

That Galapagos!
Connived and Canoodled
(Indeed, so sensual a sin)
The previous powerful possessor 

~Slow and steady 
Wins the race~

Release was requested
And refused 
so that ""Testudinidae of the order Testudines""
Hatched a hellish coup

Late one evenin'
The old beloved king
he was a'sleeping

When a noise was blasted, oh so near
Indeed, indeed it broke his ear
(You see, he was a praying mantis)

Painful, horrid it was 
But not as illicit as 
The finale 

The terrapin 
Let loose
A formidable flatulence 

And the lasting line of Mantis
Fell
“Acute asphyxiation,” 
The coroner did decree
“Was the means of slaughter”

Yet no one knew
Who done did it 

Took the throne 
Did the doer of the deed 
Repressing the residents of the world
While relishing prickly pear cacti

Deaf to the anguished cries
As he slept 
Sixteen hours of the day!

And the other eight
He spent trying to get from his bed to his toilet
An oxygen mask affixed to his face
So as to not meet an early end 
Brought on by the self

Much suffering set forth
In the coming decades
The rights of the islanders infringed upon....
Formulated in fear
Not consensus
Was his rule

Stalin paled in comparison
Mussolini would have blushed 
Big Brother, synonym in a thesaurus 
For a twisted, totalitarian, flatulent tortoise!

(Chorus Exits)",
"I am in the middle of the hall
Alienated from by brethren 
By the cruel fates
Many have passed 
Without a glance 

I just want to be seen 
And disposed of by loving hands 
At least then I will have been held

Help",
"He always loved being the boat,
my older brother, the dog, but I, the watcher,
Just tall enough to see who’s winning.

I sit there with apple-sliced daydreams
of owning both the Boardwalk 
and Park Place, getting out of jail free,
and pulling an “Advance to GO” card.

Instead, I get sent directly to jail,
the ‘den’ as Nona calls it,
where dusty waxen hour and minute hands
marked ‘Crayola’ spin round and round
as I try and make the most 
Of some half-filled-outside-the-lines Pinocchio coloring book.",
"I call my dad
“If you’re hearing me it means
I couldn’t get to the phone.
Sorry, leave a message and 
I’ll get back to you 
soon.”

It’s almost father’s day.

You lie 
like a surfaced fish, 
mouth gapped open, jaw hanging low. 
You were so pale 
and clammy. Limp drooping 
wrist.

My floppy rubber doll. 

I died alone. Early 
in the morning, before the sun
could rise or set. I stretch
you, so you lie 
on your back. Has it stopped 
hurting? You can 
come home. I’m not 
angry anymore. 

Resentment seemed to have loosened 
its leash. Still no answer. 
No new messages just a hollow clatter. 
Your bones rot somewhere 
in the earth. But, you’re not there.
You’re not there. 

Remember in December when you lied
every time I’d call you. You left
Your phone at home again. I can’t reach 
You. It was always a hassle trying
to reach you. I’m tired 
of waiting for you. Do you hear me? Call 
me when you get this. Call me back
please. 

I’ll get back to you. I’ll get back to you. I’ll get back – 
Sorry. I couldn’t - get back to you – back to you. You. Leave
a message and I’ll get back– I’ll get back to you. I’ll get back to you. I’ll get back to you. I’ll get back to you soon.



Liar.",
"The old house won’t sell,
It’s been up for ages.
Dozens of viewers,
A pushy agent,
No offers.
I think it’s because of the stains.
There are stains everywhere in that house;
In all the rooms on the walls, the floor,
Even the curtains are full of them. 
I see them most on your old chair,
Huge blots of sadness sunken into the leather,
No one wants to sit on sadness, 
It smells.
Mum says she doesn’t know what I’m talking about,
But she does.
I’ve seen her staring at them before 
on the photo frames in the corridor as you come in the front door. 
They’re bad there as well, 
Almost so bad that you can’t look at the photographed faces for too long 
Or your eyes will start to sting.
We’ve tried a few different cleaners, 
But even after all the scrubbing and steaming;
You’re still there.
I think you always will be. 

You’ve stained my life as well,
In a much bigger way than if it were just
With tea or tears,
I hope you know that. 
A stain so big it’s burnt through my fabric,
Like bleach through clothes catching the skin,
Drills through teeth touching the nerve - 
I always feel you.
In big moments,
I feel sick
Because you’re missing them.
In small moments, I think about the big moments you’ll miss. 
So many moments you’ve missed and will miss. 
Sometimes I feel consumed by it,
Like you’ve eaten me and taken me with you,
Wherever you went.
I worry sometimes that the stain will wash away,
That you’ll come out in sneezes or something,
And I won’t be able to remember you as clearly.
Maybe that’s inevitable.
For now though, the stains are stuck 
To the curtains of our old house 
And the insides of my eyelids as I sleep.",
"When the crowd moved forward, 
a jungle of enraged animals swallowed 
my over-conscious body. 

Beer bottles clattered and clanged, 
while a Babel tower of voices weaved 
forging a parachute of sounds. 

The floor was sticky, as were the sweat
drops sliding from the barman’s forehead,
like rain on filthy windows in the attic. 

Flashes of muted TVs flustered
the claustrophobic hovel I was dragged into,
disorienting my symmetrical thought. 

I smelled mediocre lives passing by, 
and locked eyes with foggy minds that danced
with faint fuzzy smiles.  

I should have gulped down acid, 
like these beasts with foaming grins 
but instead I breathed in 

and fenced myself in a bubble. 
I was invisible in a room of 
invisibles.",
"Sometimes I eat candle wax
because the soft melt clogs my throat,
lines the sides of my esophagus like drainpipe leaves,
so I am left sputtering.

I dip each finger pad into the hot silken liquid,
little helmets on calloused skin that trace my cheeks,
as you ask again, Do you love me?



I suck my fingers clean.",
"You basked in the orange glow,
pretending it was a Hawaiian sunset,
grinning or grimacing, baring your teeth 
as sparking flames hacked away at your nerve endings.

You never minded that back left stove grate 
that ticked, ticked, ticked to life
        because you knew I needed         
the one up front.                        Did I really?

I grew so comfortable in that space, 
up front,
I just couldn’t give it up.

You enveloped me in a hug
and my arm reached behind you to turn up 
the burner’s dial: 
400 degrees.
You writhed, feeling its heat, and I watched and sobbed.

I could have taken a step closer, 
let the tears extinguish,
pulled at your charred remains and
dusted away the ashes. 
I’m so sorry. I’m so sorry.

Instead, I took a step back and watched you
like you were a Hawaiian sunset,
and this is my apology.",
"I sit here, embracing that special strain
Of mortality late at night,
Like catching a falling knife.
But suddenly it was you
that slipped through and slit my fingers.

And now I resort to grasping, reaching
With marled and infected hands
For the rope of reality to pull me out
Of this involuntary stream of consciousness.
I was fine to stew in death
And marinate in imagined emotion for the future.

But memories,
Memories once again bring me intimate with collapse
And I float away like a loose balloon
Into the vast, unending horizon
Of my discontent.",
"Once there was a person who said to me in a mocking yet not unserious tone: ""There is only one God.""  I was in disapproval.

 The Buddha statue was rolled in a towel and slept in a cardboard box. When it was taken out again, the paint on the eight corners of the base was reduced.

 I placed it carefully in the storage cabinet next to the bathroom, alongside the cheapest items: bicycle cushions, nylon cable ties, and some disposable bolts. Detergent and soft towels folded into squares, on the other hand, lie quietly under them.

 In doing so, I carefully separated it from the Gideon's Bible. 

To avoid interference with each other, the Bible was placed high up on the bookshelf.

Today, I took out the Buddha again.

 I gently put it on the freshly polished dining table. It was bathed in the dim light.",
"Like the taxicab
Coming to bring me home
i give it to You instead",
"he  doesn’t dance anymore
he  doesn’t walk anymore
he  doesn’t yearn anymore
 
tether me home again
 
don’t dance with me  ha
don’t sing with me  ha
don’t be with me  ha",
"The train takes me
to Watergate Lane. I travel
alone – sweater zipped,
suitcase zipped, two-teeth
pulled, locked, into each other –
compact. Sheep in the distance –
the young coddle the old
until they become the old
and have to give the love
they once received. Milk –
sent out to front porches,
set out on front porches to cool
for a child to suckle, hungry;
for a boy to gulp, growing;
for a mother to bake, worn.
A city now – unfolding
from the two-teethed tracks
stretching into the heart
where she sheep are
no longer.",
"the woman ate mangoes
spoon after spoon of
halves after halves of
smooth shiny wet solar orange
yellow-skinned

fruits cradled in one large hand
rough fingers curled around a sticky knife
dipping down to pierce taut peel and
split fibers in two.

under the window
she feels the scrape of the spoon
against her palm
through the slick skin
shaving away the last layer
of cold sun-fed flesh
and desires more
Above",the cotton clouds gathered
"In my dreams they have more elevation,
the roads – swirling things, locked together by cobbles.
Tucked between the pastel hues of les appartements,
a vineyard from the years of Louis XIV
produces small purple grapes; when we pass on foot
we mistake them for raisins; laughter bubbles up
as they pop in your mouth.

At the top lies the heart: le Sacré Cœur – you can climb it
if you dare – swirling staircases leading to a pillared dome.
Grape remnants taint my breath as I ascend.
We emerge together – all of the city opens
beneath us. Drink it in you say and I pull in a breath of air
imagining the view to be wine; my lungs
hold it tight. I’m fearful
if I exhale all the bâtiments will crumble away.",
"Flipping pages in the dead of night,
I rub my drooping eyelids. 
The crickets chirp outside,
And I know that they’re laughing.
A bucketful of chuckles and scorns
That perhaps we may deserve,
And a sudden revelation
That I’ll never fall asleep alone. 
 
The lamp still shines on,
Making a sharp fizzing sound,
A crack every now and then
A pop.
Let the light crack as I crack.
Not a soft glow,
But cold fluorescence
Fit for the institution this house has become. 
 
The bed seems to be getting narrower
Each day.
The Mattress Eater―I call it.
Comes in the daytime and bites off
Chunks when I’m not there. 
There’s no space for you beside me anymore.
Don’t bother coming in and trying to sit―
You’ll fall right off the edge.
 
Absence intrigues me because
You weren’t really there to begin with.
The smog that infiltrates the mind
And thickens with each passing hour,
An inattention to light and breath and sound.
What did I just say?
I bet you didn’t hear. 
 
You have a gift for saying what you do not mean,
A talent
For painting blizzards on white canvas,
An aptitude for hide and seek. 
 
So go forth
And hide behind those bushes,
Clamber up that tree.
But when you get to the top
Don’t bother looking down at me. 
 
The blinds are drawn. 
The window is shut.
And the crickets are laughing.",
"Pointed tusks of ivory
And splintered shards of
Whittled bone,
Butchered skin
And blood-soaked hides
That rot in the dense jungle.
The Giant has fallen
Along with the
Muffled
Strangled
Trumpeting of Kings cut down,
Cornered criminally across the
Coveted continent.
Can you hear the cries,
The heaving and final sigh
Just before the body lies still?
Can you see the pools of stifling crimson
Dotting the savannah,
Sinking into cracks of parched soil?
Does your gun grant you governance over
This sacred ground?
Have you gone
Deaf
To the screams and
Blind
To the struggle of the abused?
Look into that bloodshot eye and tell it
That it deserved to die.
Wipe the tears wetting the leathery―

Hide.",
"because i was fascinated by repair— 
with the way that the women in my family
choose to handle 
the brokenness of men.
My Pop-Pop, as i knew him,
was a saint— 
but first he was an alcoholic 
who ripped his slacks stumbling out of Don’s
on a Sunday afternoon.
Traipsing down Chester Pike 
like Dionysus in Thebes,
dressed in stranger’s clothes,
trying to convince the town 
he was worthy of praise. 
But they did not believe— 
all failing to see the demons 
he bore like Bacchae,
save for my grandmother
who saw his demons and tears 
                   and said, Harry— 
taking her sewing kit
                   and the god’s name in vain 
and patching up his polyester,
her irises honeying his reflection 
until he could recognize himself again. ",
"to the brick that bore me, 
pushed me past clay and shale and drywall
into a bathroom whose steel faucet never ceases— 
It drips
         and drops
but rarely carries warmth.
That flows from my mother,
from her dreams of a home with a high ceiling
and a Christmas light display 
to rival that of E. 20th Street— 
far from Bethlehem,
but leaning towards its ear with whispered prayer,
         for a home where faucets never leak, 
         where the booms that echo on darkened streets
         are always just fireworks.
 
I could take you for a drive 
around the landmines that line our highways, 
through thoughts polluted
by the cloud factory smoke
that seeps into our lungs during the afternoon cortisol rush.
Potholes littered across road fragments 
drive even the agnostics to pray, 
         let this labyrinth of construction lead home
         and the mechanic be right about wide sidewalls preventing tears.
 
Mostly,
I wish we could go
just past the trafficked frenzy of the I-95 
to the park where children gawk at planes 
set to land on runways where every passenger is departing
         or wishing they were.
Yet the children see divine— 
like all planes lead to Bethlehem,
to the promise of seeing loved ones lost
to faucets that leaked and flooded them 
into the Susquehanna, 
         without prayer, 
         but still home. ",
"I.
when we didn’t understand what it meant to say I love you, you’d braid
violets into my curls. there was a patch of them in the woods behind
the lake where we’d bike on summer nights helmets off hair spiraling
behind us. band-aid bruised knees and dirt under nails, you splayed me
in your lap, wild locks billowed out, and you built me a wreath of violets.
 
I always followed you down to the creek to splash around
barefoot bare skinned with nothing but the sound of the marsh,
my harmony to the melody of your laughter. you clung to
the covenants that fell from my lips as I fell into a drunken stupor
of love. love like the camellias blooming in my grandmother’s garden.
 
II.
when you first told me I love you my heart flipped in my fissured rib cage,
I said it back. you’d go on to love pale lattes and boys in volleyball uniforms.
you’d love cruises across the ocean and catching flights late into the night.
you’d love French baguettes, German trains, and other people. I’d think I
loved someone else until you whispered you still had my letters, etchings
of my love you–love you–love yous burnt into your childhood desk draw.
 
I left your words suspended, but I sent you snapshots
of lavender bushes on my walk home. I returned clipped
photos of green carnations pinned to sweeping dresses
and finely tailored suits paired with your highest heels.
 
III.
I always find you in the language of flowers.
our last few years were spent passing portraits of calla
lilies and pansies. I’d’ve given my soul to hear your
voice, but your body sleeps in the land down under.
 
when your face appeared in front of a flag, fuchsia violet bluebell,
I knew we’d fucked us up. I typed out two hundred ways I loved
you, but hesitation had me deleting the way I’d described your lips.
adults can mind their own damn heartbreak without bringing up
echoes buried in hollowed out trees where our names are etched.
I could try and give us a chance to finally let this go. to let you go.
 
IV.
the text you sent me as doomsday overtook Europe
let me know that I still love you. it let me know
that you might still love me. but you’re stuck down
in Sydney, floating out to sea and I’m standing
in the rain to watch rayo flicker across Quito
as mother nature weeps for what she has lost.
it’s not the right time for us. our time is dead.
 
when I said I wanted to marry you,
they told me that little girls didn’t grow up
to marry other little girls. now, I think
that little girls grow up to marry other little girls,
but maybe I don’t grow up to marry you.",
"to the last Poʻouli: no kau a kau
 
Poʻouli once roamed the north-eastern
slopes of Haleakalā and nested aloft
in the ʻōhiʻa lehua, a flowering evergreen
tree native to Hawaiʻi and her islands,
feasting on olapa berries and waxworms.
 
sounds of rain pittering along silversword
vegetation as the Pueo, the guide of ancestor
spirits, and hallowed, paramount honeycreepers
flitting above evergreens and invaders around the
crater, all ache for the loss of one of their own.
 
eleven weeks before the endling died, one half-blind
and lonely songbird found itself in a battle against
Papahānaumoku and Wākea, his earth mother and sky
father. humans, always trying to race eradication. that
night the heartwood wept for its beloved, far from home.
 
even those devoted hands, warm to the touch running
down soft, gentle feathers, couldn’t nurse him out
of extinction. time is a coup d’état: cruel and swift
colonization of the body as is the illness permeating
his bones, weak and anemic, atrophies beyond repair.
 
they don’t bury the body in volcanic soil, no return
to his ancestral homeland. rather, he remains pressed
in between sheets of plastic in the ice cold. shipped
to some distant mainland to be poked, prodded
until there is nothing left but the chill of death.
 
they never named him but his song resonates
like a melodious Kalani, cold winds reaching
upwards to the heavens residing above rainforests.
‘I’iwi and ‘Ākohekohe engage in a dance of grief
as the Pueo guides the little Poʻouli home forever.",
